"Reporting Starts","Reporting Ends","Campaign Name",Delivery,Results,"Result Indicator",Reach,"Cost per Results","Amount Spent (RUB)",Ends
2017-09-01,2017-09-01,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-02,2017-09-02,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-03,2017-09-03,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-04,2017-09-04,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-05,2017-09-05,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-06,2017-09-06,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-07,2017-09-07,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-08,2017-09-08,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-09,2017-09-09,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-10,2017-09-10,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-11,2017-09-11,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-12,2017-09-12,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-13,2017-09-13,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-14,2017-09-14,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-15,2017-09-15,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-16,2017-09-16,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-17,2017-09-17,"Varyforte PL -s22754",active,,,0,,0,Триває
2017-09-18,2017-09-18,"Varyforte PL -s22754",active,,,953,,263.35,Триває
2017-09-19,2017-09-19,"Varyforte PL -s22754",active,,,2769,,703.2,Триває
2017-09-20,2017-09-20,"Varyforte PL -s22754",active,1,actions:offsite_conversion.fb_pixel_lead,578,202.68,202.68,Триває
2017-09-01,2017-09-01,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-02,2017-09-02,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-03,2017-09-03,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-04,2017-09-04,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-05,2017-09-05,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-06,2017-09-06,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-07,2017-09-07,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-08,2017-09-08,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-09,2017-09-09,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-10,2017-09-10,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-11,2017-09-11,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-12,2017-09-12,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-13,2017-09-13,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-14,2017-09-14,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-15,2017-09-15,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-16,2017-09-16,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-17,2017-09-17,"Varyforte HU -s22721",active,,,0,,0,Триває
2017-09-18,2017-09-18,"Varyforte HU -s22721",active,1,actions:offsite_conversion.fb_pixel_lead,1139,388.32,388.32,Триває
2017-09-19,2017-09-19,"Varyforte HU -s22721",active,1,actions:offsite_conversion.fb_pixel_lead,3981,1189.24,1189.24,Триває
2017-09-20,2017-09-20,"Varyforte HU -s22721",active,,,757,,350.49,Триває
2017-09-01,2017-09-01,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-02,2017-09-02,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-03,2017-09-03,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-04,2017-09-04,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-05,2017-09-05,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-06,2017-09-06,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-07,2017-09-07,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-08,2017-09-08,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-09,2017-09-09,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-10,2017-09-10,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-11,2017-09-11,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-12,2017-09-12,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-13,2017-09-13,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-14,2017-09-14,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-15,2017-09-15,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-16,2017-09-16,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-17,2017-09-17,"Varyforte BG -s22709",active,,,0,,0,Триває
2017-09-18,2017-09-18,"Varyforte BG -s22709",active,2,actions:offsite_conversion.fb_pixel_lead,2454,223.565,447.13,Триває
2017-09-19,2017-09-19,"Varyforte BG -s22709",active,,,6182,,1147.29,Триває
2017-09-20,2017-09-20,"Varyforte BG -s22709",active,1,actions:offsite_conversion.fb_pixel_lead,1103,263.16,263.16,Триває
2017-09-01,2017-09-01,"DE Varyforte -s21849",inactive,,,0,,0,Триває
2017-09-02,2017-09-02,"DE Varyforte -s21849",inactive,,,0,,0,Триває
2017-09-03,2017-09-03,"DE Varyforte -s21849",inactive,,,0,,0,Триває
2017-09-04,2017-09-04,"DE Varyforte -s21849",inactive,,,0,,0,Триває
2017-09-05,2017-09-05,"DE Varyforte -s21849",inactive,,,0,,0,Триває
